config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE
1715,0.017499021653187761,0.00031764954075853808,0.41877082100000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.064301081919963615,0.0011434775053933504,0.0025776564298912751,7.178637923836913e-07,0,0,0.12482140519422169,0.0043929082768954294
1716,0.019090844931119663,0.00030533585844793562,0.30152278500000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0,0,0.019542957487582578,2.1920897010672351e-05,0.0094673376615136643,1.5803755559712259e-05
1717,0.019090844931119663,0.00030533585844793562,0.42632262399999998,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0,0,0.019542957487582578,2.1920897010672351e-05,0.12482140519422169,0.0043929082768954294
1718,0.019597585725710708,0.0004174219736815364,0.304024921,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0.014981183407215215,2.5095647377126372e-05,0,0,0.12482140519422169,0.0043929082768954294
1719,0.020860381363051586,0.00042106800893502164,0.31934731500000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0.014981183407215215,2.5095647377126372e-05,0.019542957487582578,2.1920897010672351e-05,0.0094673376615136643,1.5803755559712259e-05
1720,0.032149584480230232,0.00062755154667507116,0.30731440100000001,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0.014981183407215215,2.5095647377126372e-05,0.13810176934126006,0.002002016474771101,0.0020897457832725727,7.133946667246938e-07
1721,0.022121122577020064,0.0005634691446038168,0.314431931,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0.029349513899250026,0.00011093713019455803,0,0,0.00073691275757772434,1.017642263681214e-07
1722,0.022121122577020064,0.0005634691446038168,0.41857745400000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0.029349513899250026,0.00011093713019455803,0,0,0.0020897457832725727,7.133946667246938e-07
1723,0.022121122577020064,0.0005634691446038168,0.304713077,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0.029349513899250026,0.00011093713019455803,0,0,0.018436560699085457,6.6669330534709393e-05
1724,0.022121122577020064,0.0005634691446038168,0.43142933700000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0.029349513899250026,0.00011093713019455803,0,0,0.066925301383199784,0.0010976716341893321
1725,0.024617932325651699,0.0005816137657806452,0.61018615899999995,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.12074096984968002,0.0045738414776371689,0.029349513899250026,0.00011093713019455803,0.041005308662877701,0.00010943307334319948,0,0
1726,0.060990587710267774,0.021396463838828168,0.60732077500000003,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.2422388505978256,0.018789844584028239,0,0,0.0072555615269624344,3.1365272899216516e-06,0.0046713869740736399,3.5621158608966306e-06
1727,0.068548002111548406,0.021357640076289444,0.61289092099999998,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.2422388505978256,0.018789844584028239,0,0,0.13810176934126006,0.002002016474771101,0.0020897457832725727,7.133946667246938e-07
1728,0.076103557586259432,0.021646567596060533,0.61064527700000004,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.2422388505978256,0.018789844584028239,0,0,0.23639565188982414,0.008090160902531382,0,0
1729,0.024596633793041812,0.00070534061684353864,0.61552620899999999,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0,0,0,0,0,0
1730,0.024596633793041812,0.00070534061684353864,0.61149753200000001,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0,0,0,0,0.0046713869740736399,3.5621158608966306e-06
1731,0.024596633793041812,0.00070534061684353864,0.61400616200000002,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0,0,0,0,0.035299224261615122,0.00027203686528506433
1732,0.038697185493604971,0.00090080463126519393,0.60860014799999995,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0,0,0.13810176934126006,0.002002016474771101,0.0046713869740736399,3.5621158608966306e-06
1733,0.024940798917106311,0.00072077452214260355,0.60989515699999997,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.0025776564298912751,7.178637923836913e-07,0,0,0.035299224261615122,0.00027203686528506433
1734,0.025618790276980986,0.00074892293693168681,0.61081096499999998,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.0070568641369427197,5.0167964149023017e-06,0,0,0,0
1735,0.027031791906615178,0.00081672014222167611,0.373772773,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.014981183407215215,2.5095647377126372e-05,0,0,0.066925301383199784,0.0010976716341893321
1736,0.02741660415509347,0.00081762169972588892,0.50381114299999996,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.014981183407215215,2.5095647377126372e-05,0.0072555615269624344,3.1365272899216516e-06,0.0094673376615136643,1.5803755559712259e-05
1737,0.033887711719781596,0.001194363511549467,0.60574216700000005,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.054808110924766583,0.00046335850843711145,0,0,0,0
1738,0.04311225050447632,0.0014406916764197785,0.30571316199999998,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.054808110924766583,0.00046335850843711145,0.13810176934126006,0.002002016474771101,0.0046713869740736399,3.5621158608966306e-06
1739,0.041255239616083419,0.0017264776733027709,0.32266369900000003,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.099015042046594087,0.0018951229601319186,0,0,0,0
1740,0.041255239616083419,0.0017264776733027709,0.31794671899999999,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.099015042046594087,0.0018951229601319186,0,0,0.018436560699085457,6.6669330534709393e-05
1741,0.042782383166328056,0.0017740363696469171,0.34389722,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.099015042046594087,0.0018951229601319186,0.041005308662877701,0.00010943307334319948,0,0
1742,0.062456146806923324,0.0063273202689560831,0.35854312500000002,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.17323221681704717,0.0075662290638639019,0,0,0.23835386535479269,0.017767155452867944
1743,0.071712422444742616,0.0069452729077327377,0.33485691000000001,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.29432736935424308,0.029782257606169423,0,0,0.0046713869740736399,3.5621158608966306e-06
1744,0.071852855128879387,0.0069671656200103885,0.30365633400000003,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.29432736935424308,0.029782257606169423,0.0072555615269624344,3.1365272899216516e-06,0.0094673376615136643,1.5803755559712259e-05
1745,0.073267004079797957,0.0072009106198343614,0.33332619800000002,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0,0,0.29432736935424308,0.029782257606169423,0.077646384166351154,0.00048192924222406397,0.035299224261615122,0.00027203686528506433
1746,0.038697185493604971,0.00090080463126519393,0.40571701100000002,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0.00071998620962972519,1.0668702470797522e-07,0,0,0.13810176934126006,0.002002016474771101,0.0020897457832725727,7.133946667246938e-07
1747,0.024940798917106311,0.00072077452214260355,0.30502996500000001,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0.00071998620962972519,1.0668702470797522e-07,0.0025776564298912751,7.178637923836913e-07,0,0,0.00073691275757772434,1.017642263681214e-07
1748,0.028860248652250002,0.00073195806555042902,0.33870562500000001,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0.00071998620962972519,1.0668702470797522e-07,0.0025776564298912751,7.178637923836913e-07,0.041005308662877701,0.00010943307334319948,0.018436560699085457,6.6669330534709393e-05
1749,0.049173247283985165,0.001517719085086861,0.30395796200000003,0.1385058759546858,0.0019144586611889274,0.077119332289920364,0.0004635491768056605,0.00071998620962972519,1.0668702470797522e-07,0.0025776564298912751,7.178637923836913e-07,0.23639565188982414,0.008090160902531382,0.00073691275757772434,1.017642263681214e-07
