config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE
107,6.277387160239222e-09,1.0601140172495634e-17,0.013812994,0,0,0,0,0,0,2.5109548640956888e-08,3.7020830486700943e-17
108,1.4086887508393931e-08,5.3140204141925295e-17,0.013778678000000001,0,0,0,0,0,0,5.6347550033575723e-08,1.8557385880728104e-16
109,2.9384202134877687e-08,2.330335367139056e-16,0.013795150000000001,0,0,0,0,0,0,1.1753680853951075e-07,8.1378935850548041e-16
110,5.664637694375833e-08,9.6976564250843862e-16,0.013772315,0,0,0,0,0,0,2.2658550777503332e-07,3.3865724704100287e-15
111,1.197972574602568e-07,3.9550851445916227e-15,0.01371809,0,0,0,0,0,0,4.7918902984102718e-07,1.3811772537286094e-14
112,2.3389151749514466e-07,1.5754519837370259e-14,0.013756905,0,0,0,0,0,0,9.3556606998057864e-07,5.5017233883187946e-14
113,5.4051015323507455e-07,6.4903401609653246e-14,0.013726115000000001,0,0,0,0,0,0,2.1620406129402982e-06,2.266527741266158e-13
114,1.0620203799106842e-06,2.5835247426792433e-13,0.014379575,0,0,0,0,0,0,4.2480815196427367e-06,9.0220702679766719e-13
115,2.1246002940885657e-06,1.0471202865067599e-12,0.013686317999999999,0,0,0,0,0,0,8.4984011763542629e-06,3.6567069197450944e-12
116,4.1644859503064165e-06,4.161132218928887e-12,0.013752176,0,0,0,0,0,0,1.6657943801225666e-05,1.4531320971435777e-11
117,7.8223594839094613e-06,1.6691527827646556e-11,0.013750903,0,0,0,0,0,0,3.1289437935637845e-05,5.8289411536559831e-11
118,1.6623215006781971e-05,6.6919556926461856e-11,0.0137898,0,0,0,0,0,0,6.6492860027127882e-05,2.3369350210529902e-10
119,3.2979055434636249e-05,2.6592769470251245e-10,0.013794028,0,0,0,0,0,0,0.00013191622173854499,9.2866087487863828e-10
120,6.8818684954641607e-05,1.0727204294588517e-09,0.013095030000000001,0,0,0,0,0,0,0.00027527473981856643,3.7461066010287721e-09
121,0.00013621580624819185,4.2829822273750174e-09,0.012966971000000001,0,0,0,0,0,0,0.0005448632249927674,1.495684015466391e-08
122,0.00025112239937165185,1.7158118599163643e-08,0.012969196000000001,0,0,0,0,0,0,0.0010044895974866074,5.991881908875963e-08
123,0.00055460231498348533,6.9035880054106412e-08,0.012908085999999999,0,0,0,0,0,0,0.0022184092599339413,2.4108403166049585e-07
124,0.0011685917881732045,2.7614848762879577e-07,0.012921131000000001,0,0,0,0,0,0,0.004674367152692818,9.6435347361865966e-07
125,0.0022606238633582783,1.1099281417852811e-06,0.013326008,0,0,0,0,0,0,0.0090424954534331133,3.8760417201217597e-06
126,0.0045572514970988213,4.4112774163151139e-06,0.01369226,0,0,0,0,0,0,0.018229005988395285,1.5404866910722966e-05
127,0.0094103503196971451,1.7663691918853664e-05,0.013858973,0,0,0,0,0,0,0.03764140127878858,6.1684359762903619e-05
128,0.019101502331465171,7.0091077763578648e-05,0.013751896,0,0,0,0,0,0,0.076406009325860683,0.00024476894619767731
129,0.038653716735690569,0.00028339918174839676,0.013184794,0,0,0,0,0,0,0.15461486694276227,0.00098967402532771959
130,0.076666147486613406,0.0011178623809639378,0.013226455,0,0,0,0,0,0,0.30666458994645363,0.0039037493175022816
131,0.15312819741612019,0.004525377501576373,0.013189684,0,0,0,0,0,0,0.61251278966448075,0.015803322156691176
132,0.30493574640309584,0.017971453206512184,0.013259208999999999,0,0,0,0,0,0,1.2197429856123834,0.062759110051588143
133,0.60801660739933661,0.071713698420537056,0.013358491,0,0,0,0,0,0,2.4320664295973464,0.2504353899299589
134,1.2169996819218769,0.28868495053411741,0.0132701,0,0,0,0,0,0,4.8679987276875076,1.0081327521272909
135,2.4334493638437538,1.1544656301506049,0.013402577000000001,0,0,0,0,0,0,9.7337974553750151,4.0315735572871496
136,4.8663487276875079,5.4763824389948024,0.013700776,0,0,0,0,0,0,19.465394910750032,19.124379326704538
137,9.7321474553750154,24.481637855128209,0.013771814,0,0,0,0,0,0,38.928589821500061,85.49368750193041
138,19.46374491075003,103.93783588117434,0.013706107,0,0,0,0,0,0,77.854979643000121,362.96709039794399
139,38.926939821500063,428.6329807083838,0.013297733000000001,0,0,0,0,0,0,155.70775928600025,1496.8530423722182
140,0.25,0.28635608745470742,0.013257494999999999,0,0,0,0,0,0,1,1
